hs_diploma,hispanic,white,black,employed,married,male,days_21,perc_days_drink,drinks_alcohol,student
0,1,0,0,0,0,1,-622,0,0,0
1,1,0,0,1,1,0,-75,0,0,0
0,0,0,1,1,0,0,2300,0,0,0
1,1,0,0,1,0,0,1539,1.36986301369863,1,0
1,1,0,0,1,1,1,2635,0,1,0
0,1,0,0,1,0,0,3120,0,0,0
1,1,0,0,1,0,1,-45,28.493150684931507,1,0
0,1,0,0,0,1,0,870,0,0,0
1,1,0,0,1,1,1,2147,0,0,0
1,1,0,0,1,1,0,656,0,0,0
1,1,0,0,1,0,0,1781,0,0,0
0,1,0,0,1,0,0,-713,0,0,0
1,1,0,0,1,0,1,3120,3.287671232876712,1,0
1,1,0,0,1,0,0,-713,13.150684931506849,1,0
0,1,0,0,1,0,1,1720,14.246575342465754,1,0
1,1,0,0,1,1,1,3153,0.273972602739726,0,0
1,1,0,0,0,1,1,3273,0,0,0
1,1,0,0,1,1,0,3212,13.150684931506849,1,0
1,1,0,0,1,1,0,-409,0,0,0
0,1,0,0,1,0,1,962,3.287671232876712,1,0
1,1,0,0,1,0,1,1782,3.287671232876712,1,1
0,1,0,0,1,1,1,2969,71.23287671232876,1,0
0,1,0,0,0,0,0,1873,0,1,0
1,0,1,0,0,1,0,2148,4.10958904109589,1,0
0,1,0,0,0,1,0,687,0,0,0
0,1,0,0,0,0,0,778,0,0,0
0,1,0,0,0,1,0,2178,0,0,0
1,1,0,0,1,0,0,290,0,0,0
1,1,0,0,1,1,1,2178,28.493150684931507,1,0
1,1,0,0,1,0,0,901,3.287671232876712,1,0
0,0,0,1,1,0,0,2969,0,0,0
1,0,0,1,1,0,0,3153,0,0,0
1,1,0,0,1,1,1,1782,0.273972602739726,0,0
1,1,0,0,0,0,0,2451,14.246575342465754,1,0
0,1,0,0,1,0,0,2117,0,0,0
1,0,0,1,1,0,0,1447,3.287671232876712,1,0
1,0,0,1,0,0,1,-621,0,0,0
1,1,0,0,0,0,0,1996,6.575342465753424,1,1
1,0,0,1,1,0,0,1266,14.246575342465754,1,0
0,0,0,1,1,0,0,3061,0,0,0
1,1,0,0,0,1,0,870,28.493150684931507,1,0
1,0,0,1,1,0,1,-836,0,0,0
1,1,0,0,1,1,0,2727,0,0,0
0,0,0,0,1,1,0,290,1.643835616438356,0,0
0,1,0,0,0,0,1,-957,0.821917808219178,1,1
1,0,0,1,1,0,1,687,3.287671232876712,1,0
0,1,0,0,1,1,1,-256,0.821917808219178,0,0
